12 20
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 1 1
1 1 1
1 1 1
1 0,5 0,7
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 0,5 0,7
1 0,5 0,7
1 1 1
1 1 1
1 0,5 0,7
1 0,5 0,7
1 1 1
1 0,5 0,7
1 0,5 0,7
1 1 1
1 0,5 0,7
1 0,5 0,7
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 1 1
1 1 1
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 1 1
1 1 1
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 1 1
1 1 1
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 1 1
1 0,5 0,7
1 1 1
1 1 1
1 1 1
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 1 1
1 0,5 0,7
1 0,5 0,7
1 1 1
1 0,5 0,7
1 1 1
1 1 1
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 1 1
1 1 1
1 1 1
1 0,5 0,7
1 1 1
1 0,5 0,7
1 0,5 0,7
1 1 1
1 1 1
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 1 1
1 1 1
1 0,5 0,7
1 1 1
1 0,5 0,7
1 0,5 0,7
1 1 1
1 1 1
1 1 1
1 1 1
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 1 1
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 1 1
1 0,5 0,7
1 0,5 0,7
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 1 1
1 0,5 0,7
1 0,5 0,7
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 0,5 0,7
1 0,5 0,7
1 0,5 0,7
1 1 1
1 1 1
1 0,5 0,7
1 1 1
1 1 1
1 1 1
