12 20
12 20 0
20 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 0,5
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0,7 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 0,5
1 0,5 0,7
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 0,5
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 1
1 1 1
1 1 0
1 0 1
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,5 0,7 0
0,7 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 0,5
1 0,5 0,7
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 0,5
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 1
1 1 1
1 1 0
1 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0,7 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
0,7 0 1
0 1 0,5
1 0,5 0,7
0,5 0,7 0
